cancerType	TF.ChIPseq	totalTFBS	totalSamples	bmr	activeTFBS	nSNVs	nSamples	pvalue.poibin	pvalue.binom	pvalue.pois	expVal.poibin	expVal.binom	expVal.pois	sigVal.poibin	sigVal.binom	sigVal.pois
Liver-HCC	GSE60270.MED1.MCF7_SHRARS	15821664	324	0.997553815371722	7515899	4623	320	0.99947177293738	0.998673932817828	0.578213525157408	323	323	323	324	324	353
Liver-HCC	ENCSR000BSS.ELF1.MCF7	8806972	324	0.992676884914207	4947244	3569	318	0.994349740943558	0.989356096117336	0.587577310768406	322	322	321	324	324	351
Liver-HCC	ENCSR000DML.CTCF.MCF7	18200587	324	0.987823107502807	4011044	2374	309	0.999999837361268	0.999996671914613	0.739056903797906	320	320	320	323	323	350
Liver-HCC	ERP000380.CTCF.MCF7_E2	11890423	324	0.947933055416944	2080795	1343	289	0.999997800105043	0.999981121492782	0.856443892990373	307	307	307	313	313	336
Liver-HCC	ENCSR000DMV.CTCF.MCF7	20366728	324	0.987962318174498	4030483	2318	310	0.99999906878831	0.999987530083009	0.721196094375574	320	320	320	323	323	350
Liver-HCC	GSE23730.ERG.MCF7	14122669	324	0.997430336529538	7385279	3375	303	0.999999999999997	1	0.875521135815142	323	323	323	324	324	353
Liver-HCC	ERP000380.CTCF.MCF7_TAM	11024097	324	0.938654535383246	1915452	1207	282	0.999999867496309	0.999998079804021	0.903923409600353	304	304	304	310	311	333
Liver-HCC	GSE41820.ARNT.MCF7	60988959	324	0.913995635170646	1599598	1364	305	0.030128381918977	0.0431753335866291	0.310829337339832	296	296	296	304	304	325
Liver-HCC	ENCSR000BUK.GABPA.MCF7	6068977	324	0.989094916886035	4200743	2999	319	0.871974800482446	0.854269529134615	0.540087526515607	321	321	320	323	323	350
Liver-HCC	GSE51274.GATA3.MCF7	16735521	324	0.881062739976168	1324329	1364	304	0.000142709965045174	0.00042161365834148	0.143147547893885	286	286	285	294	295	314
Liver-HCC	GSE23852.FOXA1.MCF7_E2	15045281	324	0.758335334685239	800622	840	285	2.83876144813178e-09	3.22379505313108e-08	0.00766605913319884	246	246	246	257	258	272
Liver-HCC	GSE68355.ESR1.MCF7_R5020	27974567	324	0.977616819288021	3085160	2375	318	0.395118855778434	0.410822480459723	0.479419911545434	317	317	317	321	321	346
Liver-HCC	GSE68355.ESR1.MCF7_PROG	32812056	324	0.992004299411379	4773994	3437	319	0.965201586670027	0.952355080858239	0.560885533765712	322	322	321	324	324	351
Liver-HCC	GSE68355.ESR1.MCF7	17569914	324	0.909548428782804	1555104	1238	289	0.903569494544425	0.883011826384954	0.637703082872001	295	295	295	302	303	323
Liver-HCC	GSE23852.TFAP2C.MCF7_E2	11991285	324	0.981533700899016	3356857	2133	316	0.870794722735092	0.850917328234523	0.552493223586643	318	318	318	321	322	348
Liver-HCC	ERP003844.ESR1.MCF7_LY2	26814405	324	0.98910712342046	4202706	3368	319	0.872509478809147	0.854799090203554	0.540175141777768	321	321	320	323	323	350
Liver-HCC	ENCSR000BST.GATA3.MCF7	24149589	324	0.964688698066366	2508233	2043	319	0.0174011296920861	0.026766402060392	0.365280638176986	313	313	312	317	318	342
Liver-HCC	ERP000783.ESR1.MCF7	26945331	324	0.866730706929997	1233486	1143	296	0.00308215392073286	0.0059657267822002	0.189872826187471	281	281	281	290	291	309
Liver-HCC	ERP000901.CREBBP.MCF7_E2	24526377	324	0.992251226502033	4835283	4005	323	0.260233366057386	0.283931226366017	0.473837082504174	322	322	321	324	324	351
Liver-HCC	ENCSR000BUY.NR2F2.MCF7	16183180	324	0.969838957076371	2697808	1941	310	0.948379794799479	0.930922869655156	0.60177850918844	314	314	314	319	319	344
Liver-HCC	ERP001226.FOXA1.MCF7	19842160	324	0.690745741728165	639692	726	281	2.55351295663786e-15	1.03472785895065e-13	0.00012831981048067	224	224	224	236	237	249
Liver-HCC	GSE21234.TFAP2C.MCF7	18546489	324	0.959984358518424	2364692	2085	318	0.0155142635319417	0.0242911835430132	0.353926158056379	311	311	311	316	317	340
Liver-HCC	GSE36351.TFAP2C.MCF7	18546914	324	0.959986280079497	2364746	2086	318	0.0155210121870167	0.0243003666487015	0.353939334067977	311	311	311	316	317	340
Liver-HCC	ERP000380.ESR1.MCF7_SHFOXA1_E2	3894792	324	0.334002657864584	197724	161	111	0.386779648238875	0.391689351576507	0.407223687928579	108	108	108	122	122	126
Liver-HCC	ERP005838.NRIP1.MCF7_E2	16987668	324	0.940364095242093	1943356	1468	299	0.940221477905753	0.921920307943553	0.635162500683156	305	305	305	311	311	334
Liver-HCC	ERP001226.AR.MCF7	15727286	324	0.83260013293377	1059635	937	283	0.0170872716854309	0.0259215163851465	0.217809746204225	270	270	270	280	281	297
Liver-HCC	GSE41561.ESR1.MCF7	15730101	324	0.83254466501015	1059390	939	283	0.016969310015098	0.0257660533807156	0.217485181745173	270	270	270	280	281	297
Liver-HCC	ERP000209.ESR1.MCF7_E2	14876286	324	0.863829610675187	1216607	906	277	0.72870964194214	0.712700824073674	0.576327143675895	280	280	280	289	290	308
Liver-HCC	ERP005838.NRIP1.MCF7	13409476	324	0.954937224461115	2233643	1637	303	0.97435029416699	0.961557990236841	0.649589149868487	310	310	309	315	315	339
Liver-HCC	GSE40129.ESR1.MCF7_SICTR_E2	13271876	324	0.737454515011998	745435	603	245	0.224410915427757	0.242765194803325	0.355928335753502	239	239	239	251	252	265
Liver-HCC	ERP000901.NCOA2.MCF7_E2	9403229	324	0.877568673083075	1300941	1037	290	0.169187010893739	0.191829535696443	0.376226204166303	284	284	284	293	294	312
Liver-HCC	GSE40129.ESR1.MCF7_SIGATA_E2	14071580	324	0.829530589098525	1046229	824	266	0.704033509461731	0.689744710091967	0.575168551559383	269	269	269	279	280	296
Liver-HCC	ERP000380.ESR1.MCF7_SHCRT_E2	9160100	324	0.663421022763002	586668	457	221	0.241923658900862	0.258199132486698	0.348869802393661	215	215	215	228	229	239
Liver-HCC	ENCSR000DMR.CTCF.MCF7	17089402	324	0.944834786412198	2021557	1440	295	0.99820574408068	0.995758369630298	0.745112183293942	306	306	306	312	313	335
Liver-HCC	ERP000209.RAD21.MCF7_E2	10285017	324	0.914954672930074	1609583	1228	291	0.900766144033101	0.880040032440874	0.631848081083753	297	297	296	304	304	325
Liver-HCC	ERP000209.RAD21.MCF7_E2_SHCTR	16560643	324	0.936116415691658	1875844	1506	304	0.490913589700868	0.495282321993394	0.491640084229255	303	303	303	310	310	332
Liver-HCC	ERP000209.CTCF.MCF7_E2_SHCTR	17393385	324	0.94440795021304	2013738	1379	296	0.995827411674015	0.991512860050333	0.723566272136791	306	306	306	312	312	335
Liver-HCC	ENCSR000BTQ.RAD21.MCF7	15135435	324	0.859103866121677	1190068	1047	279	0.495787071505908	0.498071795229814	0.492419024481829	278	278	278	288	288	306
Liver-HCC	ENCSR125ZYC.KLF9.MCF7	5026831	324	0.981311408751956	3339423	1733	286	1	1	0.967291782419927	318	318	318	321	322	348
Liver-HCC	ERP000209.CTCF.MCF7_E2_SHCTCF	7259891	324	0.751081139662597	780795	622	236	0.862587300066625	0.84342888005162	0.68978066398883	243	243	243	255	256	269
Liver-HCC	GSE70764.CTCF.MCF7	10233539	324	0.843948976672934	1112038	801	257	0.996962452439699	0.993905857642357	0.847334434238566	274	274	273	283	284	301
Liver-HCC	ENCSR000DMS.CTCF.MCF7	9892285	324	0.817222634368125	995384	795	249	0.993597881693582	0.988710485124642	0.841505615612483	265	265	265	275	276	292
Liver-HCC	ERP000783.CTCF.MCF7_TAM	7210531	324	0.828718222769819	1042732	745	251	0.997524785826134	0.994922763252112	0.864578043495732	269	269	268	279	279	296
Liver-HCC	GSE41561.NR2F1.MCF7	42769202	324	0.998753548857432	9425020	5528	322	0.994514268174999	0.99191977758726	0.542753490835492	324	324	323	324	324	353
Liver-HCC	GSE48930.AR.MCF7	13020525	324	0.973674484867345	2869598	2024	304	0.999968760059187	0.999826710803804	0.748202303861974	316	316	315	320	320	345
Liver-HCC	GSE60270.MED1.MCF7_SHCTR_E2	5696578	324	0.985753159663108	3753219	2186	301	0.999999999999864	0.999999999903886	0.854954165346107	320	320	319	322	323	349
Liver-HCC	GSE60270.MED1.MCF7_SHCTR	7734385	324	0.992849009261077	4994985	2891	310	0.999999999852876	0.99999997931955	0.74993073437228	322	322	322	324	324	351
Liver-HCC	GSE46055.KDM5B.MCF7	5643339	324	0.98017428676053	3254417	1410	261	1	1	0.999511542146433	318	318	317	321	321	347
Liver-HCC	ENCSR000DWH.CTCF.MCF7	17403425	324	0.928937749210017	1774085	1317	294	0.958111904598621	0.942315990508033	0.663877407360057	301	301	301	308	308	330
Liver-HCC	ENCSR000AHD.CTCF.MCF7	12789991	324	0.829189696534553	1044759	831	258	0.961586568359891	0.947622933949645	0.750246748114423	269	269	268	279	280	296
Liver-HCC	ENCSR000DMP.MYC.MCF7	1149267	324	0.756380686616697	795207	543	234	0.94629539190321	0.931168379472232	0.768556592420241	245	245	245	257	258	271
Liver-HCC	ERP000209.RAD21.MCF7_E2_SHCTCF	9644842	324	0.963214607361247	2460647	1818	305	0.98975950922497	0.981990922867398	0.663283989861777	312	312	312	317	317	341
Liver-HCC	GSE72249.FOXA1.MCF7	22240817	324	0.992161804874712	4812793	3643	321	0.759163517749023	0.749476144993106	0.51766343933968	322	322	321	324	324	351
Liver-HCC	ENCSR000BTP.HDAC2.MCF7	11449482	324	0.982654145052672	3449246	2440	313	0.993759627232394	0.987937217210151	0.625964168646392	318	319	318	322	322	348
Liver-HCC	GSE41820.AHR.MCF7	33044034	324	0.908327214237771	1543377	1393	304	0.0220739152864399	0.0329675346707733	0.293458773874498	294	294	294	302	303	323
Liver-HCC	ENCSR663ZZZ.MNT.MCF7	17952775	324	0.997857211488293	7873496	5461	322	0.973664213404076	0.966721246109243	0.536348571793454	323	323	323	324	324	353
Liver-HCC	ENCSR000BSU.JUND.MCF7	4064916	324	0.743396495058082	760565	640	242	0.468280217458977	0.471679609971951	0.479292476228533	241	241	241	253	254	267
Liver-HCC	ENCSR000BSR.CEBPB.MCF7	13025822	324	0.879555057844915	1314131	1338	300	0.00218718296007403	0.00445452875011088	0.194065746718403	285	285	285	294	294	313
Liver-HCC	ENCSR000BUX.EGR1.MCF7	2196394	324	0.879703973366876	1315131	843	262	0.999982630658226	0.999914310629936	0.919725572019745	285	285	285	294	294	313
Liver-HCC	ENCSR954WVZ.ESRRA.MCF7	4516950	324	0.838849008005533	1087912	798	272	0.524447548968812	0.52409483079719	0.502912563640703	272	272	272	282	282	299
Liver-HCC	GSE23852.TFAP2C.MCF7_ETOH	13198710	324	0.983862079865225	3558315	2252	314	0.990139197524895	0.982528037416204	0.612828131395478	319	319	319	322	322	348
Liver-HCC	ENCSR000EWS.GATA3.MCF7	5950657	324	0.447919423772985	297955	277	161	0.0346930508465867	0.0432020280879841	0.102360621872719	145	145	145	159	160	165
Liver-HCC	GSE80808.FOXA1.MCF7	13108468	324	0.791924212989719	903249	936	285	5.88350543617722e-06	2.55273837496128e-05	0.0424643771427943	257	257	256	268	268	283
Liver-HCC	GSE54592.ESR1.MCF7_LY2_ETOH	10984516	324	0.882317086321709	1332940	1105	291	0.192260872827151	0.214695216730133	0.388627893865622	286	286	286	294	295	314
Liver-HCC	GSE68355.PGR.MCF7_R5020	20287631	324	0.980935833507014	3310593	2694	317	0.733436536724621	0.720432580367426	0.525879303985384	318	318	318	321	322	347
Liver-HCC	GSE60270.FOXA1.MCF7_E2	21756395	324	0.921138576039606	1677660	1609	313	0.000261734160783789	0.000711245043455655	0.207060547281422	299	299	298	306	306	327
Liver-HCC	GSE60270.GATA3.MCF7_E2	2905181	324	0.330153258291488	194727	202	141	2.31707268634196e-05	5.1784456770787e-05	0.000945332526660625	107	107	107	120	121	124
Liver-HCC	GSE72249.FOXA1.MCF7_DEX	20084046	324	0.969404978309432	2680216	2322	317	0.198872866661144	0.224000217320778	0.442211528116971	314	314	314	319	319	344
Liver-HCC	GSE72249.FOXA1.MCF7_E2	20462464	324	0.947110057961667	2064617	1906	313	0.0562011377354329	0.0743996885531713	0.370599526215725	307	307	307	313	313	336
Liver-HCC	GSE68355.PGR.MCF7_PROG	29558101	324	0.993761735023786	5276061	4115	322	0.672222490038896	0.67092189060472	0.506939686999559	322	322	322	324	324	352
Liver-HCC	GSE40129.FOXA1.MCF7_SICTR	19869711	324	0.825443331905768	1028844	1081	298	1.07125682990983e-07	8.05781013246687e-07	0.0347619630379106	268	268	267	278	278	295
Liver-HCC	GSE40129.GATA3.MCF7_E2	7230604	324	0.254118754128699	139758	150	116	1.02196378685138e-05	2.18042152559939e-05	0.000269216387508653	82	82	82	95	95	98
Liver-HCC	GSE29073.GATA3.MCF7_DMSO	2093721	324	0.238020463516219	129060	126	93	0.0199899539742567	0.0241002238116732	0.0430734853987161	77	77	77	89	90	92
Liver-HCC	ERP000380.FOXA1.MCF7_E2_TAM	14794653	324	0.603161853187619	486632	572	260	0	1.24344978758018e-14	6.11321796950559e-06	195	195	195	209	210	219
Liver-HCC	GSE29073.GATA3.MCF7_E2	4309448	324	0.415546629791155	266967	251	161	0.00110308736380327	0.00187973722817414	0.0147522244424683	135	135	134	148	149	154
Liver-HCC	GSE44737.MBD3.MCF7	5422209	324	0.920812149837488	1673896	1202	296	0.743989387468586	0.727037819600628	0.561667295018269	298	298	298	305	306	327
Liver-HCC	ENCSR557JTZ.GTF2F1.MCF7	7625911	324	0.992375287937527	4867060	3153	316	0.999718012648485	0.999009091632241	0.628541719822067	322	322	321	324	324	351
Liver-HCC	ENCSR468LUO.SIN3A.MCF7	21858991	324	0.999158543481572	10627757	6981	323	0.973076003948334	0.969011155767946	0.523518597227587	324	324	324	324	324	354
Liver-HCC	ERP000901.NCOA3.MCF7_E2	8420303	324	0.826381568636941	1032789	837	270	0.394349232532892	0.404406496263777	0.453368196411654	268	268	268	278	279	295
Liver-HCC	ENCSR636EYA.CTBP1.MCF7	20293484	324	0.99469294305834	5624264	3866	319	0.995699155659709	0.991766157674439	0.579922876523684	322	322	322	324	324	352
Liver-HCC	ERP000380.ESR1.MCF7_E2_TAM	3237854	324	0.486959316923691	338521	239	149	0.863334431423506	0.848713682743406	0.768036536483035	158	158	158	172	173	179
Liver-HCC	GSE41561.KLF4.MCF7	3165526	324	0.901066191513129	1477572	847	254	0.999999999998824	0.999999999859409	0.989058211405837	292	292	292	300	301	320
Liver-HCC	GSE60270.ESR1.MCF7_E2	9181088	324	0.632966906169548	533552	402	209	0.337318935728939	0.34840467899775	0.401417185168932	205	205	205	218	219	229
Liver-HCC	ENCSR017CEO.CUX1.MCF7	7858964	324	0.873002536967656	1271629	1192	310	2.85325113535961e-08	2.54892207784962e-07	0.0581799626781199	283	283	283	292	292	311
Liver-HCC	GSE48930.ESR1.MCF7	21344189	324	0.992982092720652	5032947	2837	311	0.999999998474639	0.999999887788823	0.732443901767538	322	322	322	324	324	352
Liver-HCC	GSE59530.ESR1.MCF7_E2_TNF	6067263	324	0.501951465217435	355143	335	185	0.00483657827436457	0.00748286362802952	0.0454064069912643	163	163	162	177	177	184
Liver-HCC	GSE60270.TFAP2A.MCF7_E2	8013597	324	0.966296949992851	2563258	1595	294	0.999999991409693	0.999999732523986	0.866267430986367	313	313	313	318	318	342
Liver-HCC	ENCSR000BUN.TCF12.MCF7	3184236	324	0.455307906410057	305350	313	180	8.14125526248377e-05	0.000186165462421228	0.00525074115190216	148	148	147	161	162	168
Liver-HCC	GSE59530.ESR1.MCF7_SHCTR_E2_TNF	8164030	324	0.908328264622614	1543387	990	279	0.999211653773166	0.997923571766019	0.8210914551507	294	294	294	302	303	323
Liver-HCC	ERP000209.ESR1.MCF7	4472793	324	0.655083285533343	571548	453	214	0.43934046179162	0.444139374166968	0.461221003099685	212	212	212	225	226	236
Liver-HCC	ENCSR000BTR.EP300.MCF7	3598700	324	0.460257482978496	310375	282	163	0.0571493350319219	0.0681549462288129	0.137182282505702	149	149	149	163	164	169
Liver-HCC	ENCSR288IJC.MAZ.MCF7	10078116	324	0.996115453718696	6343083	3932	320	0.994788496068595	0.990780806792012	0.568059484711599	323	323	323	324	324	353
Liver-HCC	ENCSR348JOJ.MTA1.MCF7	7390985	324	0.985190300790107	3691719	2301	310	0.999980624791593	0.999874229282658	0.704166869530852	319	319	319	322	322	349
Liver-HCC	ERP000901.NCOA3.MCF7	27589451	324	0.922681139929529	1695724	1370	307	0.0375728547861569	0.0523329541193525	0.328331724977942	299	299	299	306	307	328
Liver-HCC	GSE55921.BRD4.MCF7	6081286	324	0.989924741844302	4341324	1921	302	1	0.999999999999379	0.858964302569995	321	321	321	323	323	350
Liver-HCC	GSE55921.BRD4.MCF7_E2	5652072	324	0.988724815112049	4142589	1743	301	1	0.999999999999172	0.866761621156291	320	321	320	323	323	350
Liver-HCC	ENCSR234VCE.DPF2.MCF7	14614819	324	0.943717555956065	2001256	1625	308	0.331159593187061	0.348908436787777	0.456726890826432	306	306	306	312	312	335
Liver-HCC	GSE23852.FOXA1.MCF7_ETOH	14514257	324	0.767945964019251	828068	845	281	9.17926209154096e-07	4.98610150834189e-06	0.0239319798369519	249	249	249	260	261	275
Liver-HCC	GSE72249.ESR1.MCF7_E2	6300776	324	0.420677918814115	271732	232	152	0.035729130838422	0.0440250438800005	0.0980263844494853	136	136	136	150	151	156
Liver-HCC	GSE72249.NR3C1.MCF7_DEX	4584412	324	0.29507396681845	168405	189	117	0.0043957408902604	0.00611459322256569	0.0186673558526175	96	96	95	109	109	112
Liver-HCC	ERP000380.FOXA1.MCF7	11476797	324	0.810852114587556	970733	1021	297	7.56563822701395e-09	7.94782759605539e-08	0.0200861729033532	263	263	263	273	274	290
Liver-HCC	GSE40129.FOXA1.MCF7_SIGATA	24055121	324	0.818251554738886	999467	1066	297	5.00650780832501e-08	4.14037547691315e-07	0.0286235850653607	265	265	265	275	276	292
Liver-HCC	GSE48096.ESR2.MCF7_C412_E2	274239	324	0.185803164311735	96338	55	49	0.960646796081386	0.955564564371208	0.938094092504334	60	60	60	71	72	73
Liver-HCC	ENCSR197DJH.SREBF1.MCF7	2100384	324	0.659687804796966	579841	446	201	0.951820824646721	0.938742654805824	0.816899371186841	214	214	214	227	228	238
Liver-HCC	ENCSR000BUI.FOSL2.MCF7	5738443	324	0.650151991005849	562818	648	254	1.37863950255834e-08	1.10167735378752e-07	0.00204527751541472	211	211	210	224	225	235
Liver-HCC	ENCSR155VDK.ZBTB11.MCF7	710497	324	0.677128261218975	612568	509	226	0.217582813749217	0.234958149884039	0.336566458043708	219	219	219	232	233	244
Liver-HCC	GSE60270.TFAP2A.MCF7	2342579	324	0.800891899979657	934215	551	221	0.999999989318414	0.999999844165137	0.993328832899829	260	260	259	270	271	286
Liver-HCC	GSE72249.NR3C1.MCF7	294381	324	0.184568905065506	95599	52	44	0.993631347403202	0.992073924131713	0.985873975921428	60	60	60	71	71	73
Liver-HCC	ENCSR000EWT.TCF7L2.MCF7	3301060	324	0.555716599268397	420338	388	198	0.0182696118586659	0.025106390012603	0.098120514481942	180	180	180	194	195	202
Liver-HCC	GSE41561.TLE3.MCF7	2735634	324	0.241987151351019	131668	138	103	0.00077468882354359	0.00117597479380382	0.00445849187670366	78	78	78	91	91	93
Liver-HCC	ERP002305.ESR1.MCF7_GLYC	5902330	324	0.595425332266491	475167	339	181	0.933524234578509	0.919615686311955	0.813739717127648	193	193	193	206	207	216
Liver-HCC	ENCSR697CUP.HCFC1.MCF7	6889325	324	0.991994695429291	4771661	3397	318	0.99036624153529	0.983459647167898	0.582781412363579	322	322	321	324	324	351
Liver-HCC	GSE71276.ESR1.MCF7_E2	5325511	324	0.862612105714405	1209659	767	255	0.999984881083438	0.999925757717126	0.934172021431237	280	280	279	289	289	307
Liver-HCC	GSE59530.FOXA1.MCF7_TNF	7937271	324	0.824047692149999	1023025	951	283	0.0054968626961871	0.00968641702400397	0.170990640895484	267	267	267	277	278	294
Liver-HCC	GSE60270.PRKDC.MCF7_E2	2267416	324	0.78722553893015	887686	698	245	0.938761540563139	0.922367032611916	0.743898337503336	255	255	255	266	267	282
Liver-HCC	ERP000380.ESR1.MCF7_E2	4020800	324	0.50087081090662	353924	265	157	0.752753257137717	0.739687564791799	0.671282411834174	162	162	162	176	177	184
Liver-HCC	ERP000901.ESR1.MCF7_E2	5983989	324	0.585466174921148	460804	544	243	2.88183921171026e-11	4.2707359870775e-10	0.000113942498537911	190	190	190	203	204	213
Liver-HCC	ENCSR000BSP.REST.MCF7	3992448	324	0.574498576100063	445476	376	190	0.343791854000223	0.35370294764974	0.398239254881605	186	186	186	200	201	209
Liver-HCC	ENCSR000BUJ.FOXM1.MCF7	2826772	324	0.573589033116513	444227	402	209	0.00306270698795141	0.005168324874123	0.0503116692156081	186	186	186	199	200	209
Liver-HCC	ENCSR000BUO.TEAD4.MCF7	2161664	324	0.359763622949674	218372	354	202	0	0	4.83502127224256e-13	117	117	116	130	131	135
Liver-HCC	ENCSR427BBI.MLLT1.MCF7	2382468	324	0.717496497433358	697588	486	210	0.998697592101301	0.997280283875303	0.935897787877556	233	233	232	245	246	258
Liver-HCC	ENCSR382WLL.ELK1.MCF7	2817282	324	0.959365129186854	2347467	1581	303	0.992377518426696	0.98590859226655	0.679162266334152	311	311	311	316	316	340
Liver-HCC	ENCSR176EXN.JUN.MCF7	1081751	324	0.4263967587467	277106	216	143	0.302147026876417	0.311934067171378	0.351201622960938	138	138	138	152	153	158
Liver-HCC	ENCSR924TVL.RFX5.MCF7	3956464	324	0.9204645627477	1669910	1262	297	0.658935676938239	0.648145714449173	0.536110836610053	298	298	298	305	306	327
Liver-HCC	ENCSR094ZCF.CEBPG.MCF7	1524343	324	0.306416039764835	176726	183	131	5.87200127135645e-05	0.000117478215818645	0.00133417741982678	99	99	99	112	113	116
Liver-HCC	ENCSR546KCN.FOSL2.MCF7	4458134	324	0.630084244202887	528810	474	218	0.048599468609573	0.061282371262956	0.174593655791538	204	204	204	217	218	228
